spkid,full_name,name,neo,sats,H,orbit_id,e,a,q,i,om,w,tp,per,per_y,moid,moid_ld,moid_jup,t_jup,data_arc,condition_code,rms,pha,class
20000102,   102 Miriam (A868 QA),Miriam,N,0,9.48,JPL 123,0.2508,2.662,1.995,5.17,210.76,147.33,2460668.51,1590,4.34,0.993,386,2.14,3.33,56472,0,0.32074,N,MBA
20000103,   103 Hera (A868 RA),Hera,N,0,7.77,JPL 139,0.0796,2.704,2.488,5.42,136.04,189.96,2460251.36,1620,4.45,1.48,575,2.33,3.35,56042,0,0.30351,N,MBA
20000104,   104 Klymene (A868 RB),Klymene,N,0,8.55,JPL 130,0.1623,3.144,2.633,2.79,41.65,31.81,2461100.43,2040,5.57,1.65,642,1.64,3.19,50762,0,0.29162,N,MBA
20000105,   105 Artemis (A868 SA),Artemis,N,0,8.75,JPL 146,0.179,2.373,1.948,21.45,188.22,57.02,2460654.01,1340,3.66,1.01,393,2.31,3.43,43857,0,0.35403,N,MBA
20000106,   106 Dione (A868 TA),Dione,N,0,7.8,JPL 147,0.1591,3.183,2.676,4.58,61.99,331.69,2461461.25,2070,5.68,1.68,655,1.75,3.17,56042,0,0.28256,N,MBA
20000107,   107 Camilla (A868 WA),Camilla,N,2,7.12,JPL 138,0.0655,3.487,3.259,10,172.58,304.85,2461189.37,2380,6.51,2.29,891,1.36,3.1,56893,0,0.36091,N,OMB
20000108,   108 Hecuba (A869 GB),Hecuba,N,0,7.99,JPL 80,0.063,3.231,3.028,4.21,349.73,213.21,2460923.33,2120,5.81,2.03,789,1.54,3.18,52697,0,0.37054,N,OMB
20000109,   109 Felicitas (A869 TA),Felicitas,N,0,9,JPL 67,0.3004,2.693,1.884,7.85,2.75,57.65,2460701.33,1610,4.42,0.909,354,1.95,3.29,10331,0,0.29933,N,MBA
20000110,   110 Lydia (A870 HA),Lydia,N,0,7.86,JPL 120,0.0794,2.733,2.516,5.96,56.77,282.22,2460947.88,1650,4.52,1.52,590,2.33,3.34,10918,0,0.3307,N,MBA
20000111,   111 Ate (A870 PA),Ate,N,0,8.24,JPL 138,0.1032,2.594,2.326,4.93,305.66,168.3,2459852.95,1530,4.18,1.34,523,2.23,3.41,56273,0,0.33598,N,MBA
20000112,   112 Iphigenia (A870 SA),Iphigenia,N,0,9.79,JPL 114,0.1281,2.434,2.122,2.6,323.36,16.91,2461106.53,1390,3.8,1.11,433,2.6,3.49,56168,0,0.39801,N,MBA
20000113,   113 Amalthea (A871 EA),Amalthea,N,0,8.56,JPL 148,0.0859,2.376,2.172,5.04,123.33,80.24,2460776.66,1340,3.66,1.18,458,2.39,3.53,55909,0,0.44006,N,MBA
20000114,   114 Kassandra (A871 OA),Kassandra,N,0,8.48,JPL 153,0.1386,2.676,2.305,4.94,164.05,352.53,2459926.61,1600,4.38,1.32,512,1.94,3.36,44567,0,0.28997,N,MBA
20000115,   115 Thyra (A871 PA),Thyra,N,0,7.79,JPL 108,0.1925,2.38,1.922,11.59,308.76,96.94,2461219.01,1340,3.67,0.972,378,2.64,3.49,55406,0,0.35058,N,MBA
20000116,   116 Sirona (A871 RA),Sirona,N,0,7.81,JPL 133,0.139,2.771,2.386,3.56,63.69,93.78,2460922.76,1680,4.61,1.4,545,1.84,3.32,55414,0,0.43185,N,MBA
20000117,   117 Lomia (A871 RB),Lomia,N,0,8.18,JPL 133,0.0232,2.991,2.922,14.92,348.63,52.92,2459715.83,1890,5.17,1.94,754,2.03,3.2,54037,0,0.30147,N,MBA
20000118,   118 Peitho (A872 EA),Peitho,N,0,8.94,JPL 99,0.1635,2.437,2.039,7.75,47.64,33,2460180.66,1390,3.81,1.06,412,2.44,3.47,55624,0,0.32215,N,MBA
20000119,   119 Althaea (A872 GA),Althaea,N,0,8.39,JPL 110,0.0821,2.581,2.369,5.79,203.62,170.42,2460149.77,1510,4.15,1.37,533,2.59,3.41,55520,0,0.43856,N,MBA
20000120,   120 Lachesis (A872 GB),Lachesis,N,0,7.83,JPL 153,0.0488,3.126,2.974,6.93,340.68,240,2461353.18,2020,5.53,1.98,769,1.73,3.2,55657,0,0.33886,N,MBA
20000121,   121 Hermione (A872 JA),Hermione,N,1,7.44,JPL 138,0.1252,3.455,3.023,7.57,72.87,297.06,2459514.96,2350,6.42,2.03,791,1.63,3.11,55544,0,0.31063,N,OMB
20000122,   122 Gerda (A872 OA),Gerda,N,0,7.7,JPL 68,0.0244,3.231,3.152,1.64,178,318.91,2460857.35,2120,5.81,2.17,843,1.68,3.19,55559,0,0.4234,N,OMB
20000123,   123 Brunhild (A872 OB),Brunhild,N,0,9.01,JPL 63,0.1203,2.695,2.37,6.41,307.61,124.73,2460391.54,1620,4.42,1.39,542,2.23,3.35,55409,0,0.30439,N,MBA
20000124,   124 Alkeste (A872 QA),Alkeste,N,0,8.08,JPL 155,0.0783,2.629,2.424,2.96,187.91,61.75,2460788.32,1560,4.26,1.41,550,2.17,3.39,55465,0,0.43428,N,MBA
20000125,   125 Liberatrix (A872 RA),Liberatrix,N,0,8.96,JPL 107,0.0813,2.742,2.519,4.67,168.94,109.78,2461162.33,1660,4.54,1.51,587,2.12,3.34,55371,0,0.33786,N,MBA
20000126,   126 Velleda (A872 VA),Velleda,N,0,9.27,JPL 128,0.1051,2.439,2.183,2.92,23.23,328.36,2460606.31,1390,3.81,1.18,458,2.68,3.49,55470,0,0.29613,N,MBA
20000127,   127 Johanna (A872 VB),Johanna,N,0,8.57,JPL 139,0.0635,2.756,2.581,8.24,31.1,92.47,2460617.74,1670,4.58,1.61,628,2.12,3.33,47976,0,0.33881,N,MBA
20000128,   128 Nemesis (A872 WA),Nemesis,N,0,7.7,JPL 134,0.1274,2.749,2.399,6.25,76.16,302.82,2459928.08,1660,4.56,1.41,548,2.37,3.33,55354,0,0.37747,N,MBA
20000129,   129 Antigone (A873 CA),Antigone,N,0,7.01,JPL 134,0.213,2.869,2.258,12.27,135.66,110.6,2460667.34,1770,4.86,1.28,498,1.74,3.23,53924,0,0.42785,N,MBA
